"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2003","2003","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2004","2004","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2005","2005","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2006","2006","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2007","2007","PC","Percentage","0","Units",,,43,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2008","2008","PC","Percentage","0","Units",,,43,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2009","2009","PC","Percentage","0","Units",,,43,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2010","2010","PC","Percentage","0","Units",,,43,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2011","2011","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2012","2012","PC","Percentage","0","Units",,,52,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2013","2013","PC","Percentage","0","Units",,,52,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2014","2014","PC","Percentage","0","Units",,,52,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2015","2015","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2016","2016","PC","Percentage","0","Units",,,45,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2017","2017","PC","Percentage","0","Units",,,43.5,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2018","2018","PC","Percentage","0","Units",,,43.5,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2019","2019","PC","Percentage","0","Units",,,43.5,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2020","2020","PC","Percentage","0","Units",,,43.5,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2021","2021","PC","Percentage","0","Units",,,45.5,,
"ESP","Spain","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2022","2022","PC","Percentage","0","Units",,,45,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2000","2000","NATCUR","National currency","0","Units",,,5256.148632,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2001","2001","NATCUR","National currency","0","Units",,,5501.250236,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2002","2002","NATCUR","National currency","0","Units",,,5725.212277,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2003","2003","NATCUR","National currency","0","Units",,,6090.454434,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2004","2004","NATCUR","National currency","0","Units",,,6754.266237,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2005","2005","NATCUR","National currency","0","Units",,,7256.168799,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2006","2006","NATCUR","National currency","0","Units",,,7764.125249,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2007","2007","NATCUR","National currency","0","Units",,,8276.115853,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2008","2008","NATCUR","National currency","0","Units",,,9126.61145,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2009","2009","NATCUR","National currency","0","Units",,,9265.874787,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2010","2010","NATCUR","National currency","0","Units",,,9592.571878,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2011","2011","NATCUR","National currency","0","Units",,,9931.404345,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2012","2012","NATCUR","National currency","0","Units",,,10128.548893,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2013","2013","NATCUR","National currency","0","Units",,,10302.448348,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2014","2014","NATCUR","National currency","0","Units",,,10731.460784,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2015","2015","NATCUR","National currency","0","Units",,,10982.972657,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2016","2016","NATCUR","National currency","0","Units",,,11307.425298,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2017","2017","NATCUR","National currency","0","Units",,,11744.648876,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2018","2018","NATCUR","National currency","0","Units",,,12455.318275,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2019","2019","NATCUR","National currency","0","Units",,,13153.883427,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2020","2020","NATCUR","National currency","0","Units",,,13417.93,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2021","2021","NATCUR","National currency","0","Units",,,14437.76,,
"SVK","Slovak Republic","AVG_NAT","Average wage in national currency units ","2022","2022","NATCUR","National currency","0","Units",,,15537.660265,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2000","2000","NATCUR","National currency","0","Units",,,2712000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2001","2001","NATCUR","National currency","0","Units",,,2976000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2002","2002","NATCUR","National currency","0","Units",,,3144000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2003","2003","NATCUR","National currency","0","Units",,,3360000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2004","2004","NATCUR","National currency","0","Units",,,3600000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2005","2005","NATCUR","National currency","0","Units",,,4140000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2006","2006","NATCUR","National currency","0","Units",,,4596000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2007","2007","NATCUR","National currency","0","Units",,,5076000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2008","2008","NATCUR","National currency","0","Units",,,5448000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2009","2009","NATCUR","National currency","0","Units",,,5076000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2010","2010","NATCUR","National currency","0","Units",,,5256000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2011","2011","NATCUR","National currency","0","Units",,,5628000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2012","2012","NATCUR","National currency","0","Units",,,6120000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2013","2013","NATCUR","National currency","0","Units",,,6660000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2014","2014","NATCUR","National currency","0","Units",,,7176000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2015","2015","NATCUR","National currency","0","Units",,,7668000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2016","2016","NATCUR","National currency","0","Units",,,8292000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2017","2017","NATCUR","National currency","0","Units",,,8484000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2018","2018","NATCUR","National currency","0","Units",,,8712000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2019","2019","NATCUR","National currency","0","Units",,,9048000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2020","2020","NATCUR","National currency","0","Units",,,9528000,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2021","2021","NATCUR","National currency","0","Units",,,10357357.133691,,
"ISL","Iceland","AVG_NAT","Average wage in national currency units ","2022","2022","NATCUR","National currency","0","Units",,,10959626.283229,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2000","2000","USD","US Dollar","0","Units",,,12585.349537,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2001","2001","USD","US Dollar","0","Units",,,13492.947194,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2002","2002","USD","US Dollar","0","Units",,,14061.046099,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2003","2003","USD","US Dollar","0","Units",,,14642.977474,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2004","2004","USD","US Dollar","0","Units",,,14740.961359,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2005","2005","USD","US Dollar","0","Units",,,14933.110159,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2006","2006","USD","US Dollar","0","Units",,,15797.133946,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2007","2007","USD","US Dollar","0","Units",,,17397.130179,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2008","2008","USD","US Dollar","0","Units",,,18298.888692,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2009","2009","USD","US Dollar","0","Units",,,18673.489048,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2010","2010","USD","US Dollar","0","Units",,,20229.144838,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2011","2011","USD","US Dollar","0","Units",,,21500.217954,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2012","2012","USD","US Dollar","0","Units",,,22383.767908,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2013","2013","USD","US Dollar","0","Units",,,23638.448767,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2014","2014","USD","US Dollar","0","Units",,,25189.259552,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2015","2015","USD","US Dollar","0","Units",,,26137.653495,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2016","2016","USD","US Dollar","0","Units",,,27531.456045,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2017","2017","USD","US Dollar","0","Units",,,28957.173974,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2018","2018","USD","US Dollar","0","Units",,,31228.161505,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2019","2019","USD","US Dollar","0","Units",,,33203.954321,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2020","2020","USD","US Dollar","0","Units",,,34704.704496,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2021","2021","USD","US Dollar","0","Units",,,35981.732772,,
"POL","Poland","AVG_PPP","Average wage in US dollars based on Purchasing Power Parities","2022","2022","USD","US Dollar","0","Units",,,41107.925569,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2000","2000","RATIO","Ratio","0","Units",,,1.745266,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2001","2001","RATIO","Ratio","0","Units",,,2.242152,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2002","2002","RATIO","Ratio","0","Units",,,2.304251,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2003","2003","RATIO","Ratio","0","Units",,,2.33069,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2004","2004","RATIO","Ratio","0","Units",,,2.32728,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2005","2005","RATIO","Ratio","0","Units",,,2.319419,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2006","2006","RATIO","Ratio","0","Units",,,2.253048,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2007","2007","RATIO","Ratio","0","Units",,,2.21811,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2008","2008","RATIO","Ratio","0","Units",,,2.223538,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2009","2009","RATIO","Ratio","0","Units",,,2.188284,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2010","2010","RATIO","Ratio","0","Units",,,2.160221,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2011","2011","RATIO","Ratio","0","Units",,,2.16835,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2012","2012","RATIO","Ratio","0","Units",,,8.375209,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2013","2013","RATIO","Ratio","0","Units",,,8.209677,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2014","2014","RATIO","Ratio","0","Units",,,3.421462,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2015","2015","RATIO","Ratio","0","Units",,,3.353659,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2016","2016","RATIO","Ratio","0","Units",,,3.374233,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2017","2017","RATIO","Ratio","0","Units",,,3.27381,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2018","2018","RATIO","Ratio","0","Units",,,3.211679,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2019","2019","RATIO","Ratio","0","Units",,,3.198852,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2020","2020","RATIO","Ratio","0","Units",,,2.893114,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2021","2021","RATIO","Ratio","0","Units",,,2.823591,,
"CAN","Canada","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2022","2022","RATIO","Ratio","0","Units",,,2.719192,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2000","2000","NATCUR","National currency","0","Units",,,2316,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2001","2001","NATCUR","National currency","0","Units",,,2484,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2002","2002","NATCUR","National currency","0","Units",,,2640,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2003","2003","NATCUR","National currency","0","Units",,,2940,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2004","2004","NATCUR","National currency","0","Units",,,3288,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2005","2005","NATCUR","National currency","0","Units",,,3828,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2006","2006","NATCUR","National currency","0","Units",,,4740,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2007","2007","NATCUR","National currency","0","Units",,,6180,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2008","2008","NATCUR","National currency","0","Units",,,7476,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2009","2009","NATCUR","National currency","0","Units",,,7392,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2010","2010","NATCUR","National currency","0","Units",,,7296,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2011","2011","NATCUR","National currency","0","Units",,,7632,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2012","2012","NATCUR","National currency","0","Units",,,7896,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2013","2013","NATCUR","National currency","0","Units",,,8268,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2014","2014","NATCUR","National currency","0","Units",,,8892,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2015","2015","NATCUR","National currency","0","Units",,,9588,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2016","2016","NATCUR","National currency","0","Units",,,10140,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2017","2017","NATCUR","National currency","0","Units",,,10980,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2018","2018","NATCUR","National currency","0","Units",,,11892,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2019","2019","NATCUR","National currency","0","Units",,,12804,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2020","2020","NATCUR","National currency","0","Units",,,13656,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2021","2021","NATCUR","National currency","0","Units",,,15276,,
"LVA","Latvia","AVG_NAT","Average wage in national currency units ","2022","2022","NATCUR","National currency","0","Units",,,16758.005165,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2000","2000","RATIO","Ratio","0","Units",,,48.589815,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2001","2001","RATIO","Ratio","0","Units",,,46.235556,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2002","2002","RATIO","Ratio","0","Units",,,10.887304,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2003","2003","RATIO","Ratio","0","Units",,,3.566971,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2004","2004","RATIO","Ratio","0","Units",,,1.683926,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2005","2005","RATIO","Ratio","0","Units",,,1.502346,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2006","2006","RATIO","Ratio","0","Units",,,1.425617,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2007","2007","RATIO","Ratio","0","Units",,,1.356413,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2008","2008","RATIO","Ratio","0","Units",,,4.833993,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2009","2009","RATIO","Ratio","0","Units",,,4.64746,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2010","2010","RATIO","Ratio","0","Units",,,4.509453,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2011","2011","RATIO","Ratio","0","Units",,,4.327297,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2012","2012","RATIO","Ratio","0","Units",,,4.154151,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2013","2013","RATIO","Ratio","0","Units",,,3.999949,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2014","2014","RATIO","Ratio","0","Units",,,29.08548,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2015","2015","RATIO","Ratio","0","Units",,,27.92276,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2016","2016","RATIO","Ratio","0","Units",,,26.87409,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2017","2017","RATIO","Ratio","0","Units",,,25.660191,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2018","2018","RATIO","Ratio","0","Units",,,28.201692,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2019","2019","RATIO","Ratio","0","Units",,,26.30794,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2020","2020","RATIO","Ratio","0","Units",,,25.31648,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2021","2021","RATIO","Ratio","0","Units",,,25.40676,,
"MEX","Mexico","THRESHOLD","Threshold (expressed as a multiple of the average wage)","2022","2022","RATIO","Ratio","0","Units",,,25.23483,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2000","2000","PC","Percentage","0","Units",,,68.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2001","2001","PC","Percentage","0","Units",,,68.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2002","2002","PC","Percentage","0","Units",,,68.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2003","2003","PC","Percentage","0","Units",,,68.375,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2004","2004","PC","Percentage","0","Units",,,69.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2005","2005","PC","Percentage","0","Units",,,69.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2006","2006","PC","Percentage","0","Units",,,73.333333,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2007","2007","PC","Percentage","0","Units",,,71,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2008","2008","PC","Percentage","0","Units",,,62,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2009","2009","PC","Percentage","0","Units",,,62,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2010","2010","PC","Percentage","0","Units",,,57.64,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2011","2011","PC","Percentage","0","Units",,,17.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2012","2012","PC","Percentage","0","Units",,,34.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2013","2013","PC","Percentage","0","Units",,,34.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2014","2014","PC","Percentage","0","Units",,,34.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2015","2015","PC","Percentage","0","Units",,,34.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2016","2016","PC","Percentage","0","Units",,,33.5,,
"HUN","Hungary","PER_ARATE","Personal income tax & employee social security contributions (All-in rate)","2017","2017","PC","Percentage","0","Units",,,33.5,,
